,Año,Trimestre,Provincia,ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Total
106,2021,3,La Pampa,9015,57881,17817,14,1,100487
107,2021,3,La Rioja,11329,54744,9444,6,30,82160
108,2021,3,Mendoza,91474,71247,70579,21,828,255939
109,2021,3,Misiones,43230,89469,10969,7,7,158528
110,2021,3,Neuquén,29650,73794,16455,19,640,139809
111,2021,3,Río Negro,47934,44519,18725,15,18,144585
112,2021,3,Salta,49212,98318,36126,5,6,195833
113,2021,3,San Juan,40072,12922,6670,11,8,79483
114,2021,3,San Luis,8417,11884,27,68,28,117864
115,2021,3,Santa Cruz,12347,22961,6328,4,3,48976
116,2021,3,Santa Fe,245929,443156,93412,43,15,841584
117,2021,3,Santiago Del Estero,19939,85535,909,6,2,115458
118,2021,3,Tierra Del Fuego,12853,36958,6,16,390,50223
119,2021,3,Tucumán,104489,53868,70964,2,743,232472
120,2021,2,Buenos Aires,603255,2503830,854173,113,57,4132351
121,2021,2,Capital Federal,148989,1175097,41318,5,29,1400355
122,2021,2,Catamarca,20305,9426,22331,1,2,55744
123,2021,2,Chaco,39826,62948,27584,8,2,140729
124,2021,2,Chubut,49271,41497,6081,23,18,139237
125,2021,2,Córdoba,239780,467782,151855,55,15,930880
126,2021,2,Corrientes,46648,67262,3731,6,5,129501
127,2021,2,Entre Ríos,77836,124957,17856,23,13,257632
128,2021,2,Formosa,19571,12509,3610,15,171,51551
129,2021,2,Jujuy,24738,60800,19611,2,3,111848
130,2021,2,La Pampa,9017,57014,17132,13,1,97667
131,2021,2,La Rioja,11627,54255,9445,6,30,81602
132,2021,2,Mendoza,91503,70834,44696,21,827,229671
133,2021,2,Misiones,44960,87861,10376,5,7,156176
134,2021,2,Neuquén,30083,72690,15619,19,640,138250
135,2021,2,Río Negro,48189,43761,18727,15,18,144084
136,2021,2,Salta,51396,96016,32050,5,6,191639
137,2021,2,San Juan,40072,12369,6673,11,8,78933
138,2021,2,San Luis,8417,11308,28,66,36,122818
139,2021,2,Santa Cruz,12347,22967,6328,4,3,48982
140,2021,2,Santa Fe,256741,431915,90424,43,17,840600
141,2021,2,Santiago Del Estero,20734,83770,909,5,3,114090
142,2021,2,Tierra Del Fuego,12853,22504,6,14,316,35693
143,2021,2,Tucumán,110429,48359,71683,1,743,233051
144,2021,1,Buenos Aires,629679,2452056,821597,98,57,4060002
145,2021,1,Capital Federal,159805,1145093,39980,5,29,1379673
146,2021,1,Catamarca,26316,4409,18688,322,2,51968
147,2021,1,Chaco,43214,61251,25426,8,1,139770
148,2021,1,Chubut,45501,40960,3444,23,18,132340
149,2021,1,Córdoba,260350,444695,134634,54,17,910881
150,2021,1,Corrientes,49160,62876,3337,5,5,126625
151,2021,1,Entre Ríos,83688,118424,16846,20,12,251963
152,2021,1,Formosa,20663,11412,2562,15,380,50686
153,2021,1,Jujuy,32254,54324,17322,2,3,110456
154,2021,1,La Pampa,8946,58711,15779,12,1,97105
155,2021,1,La Rioja,17363,34984,1,250,30,52628
156,2021,1,Mendoza,91844,69295,38619,18,833,218923
157,2021,1,Misiones,48292,82339,7064,4,6,149387
158,2021,1,Neuquén,30223,70457,14171,17,632,133235
159,2021,1,Río Negro,48777,42192,17828,13,18,141168
160,2021,1,Salta,54768,89187,31498,5,6,187574
161,2021,1,San Juan,40072,11589,6671,11,8,78267
162,2021,1,San Luis,8417,10678,28,63,36,119154
163,2021,1,Santa Cruz,12347,23089,5975,4,390,46065
164,2021,1,Santa Fe,277012,421480,70976,39,17,826127
165,2021,1,Santiago Del Estero,26468,75849,570,5,3,111641
166,2021,1,Tierra Del Fuego,12853,27247,6,0,316,40422
167,2021,1,Tucumán,147199,12185,69954,1,740,231912
168,2020,4,Buenos Aires,635651,2441248,804991,93,57,4033261
169,2020,4,Capital Federal,163060,1142528,39890,4,29,1379530
170,2020,4,Catamarca,26870,5115,17856,322,2,52396
171,2020,4,Chaco,44332,61200,23687,7,1,139091
172,2020,4,Chubut,45703,39756,3040,23,18,130574
173,2020,4,Córdoba,267396,439322,125620,52,17,902701
174,2020,4,Corrientes,50102,61495,3146,5,5,125659
175,2020,4,Entre Ríos,85683,113670,15653,20,12,247381
176,2020,4,Formosa,21264,10789,2432,15,380,50206
177,2020,4,Jujuy,32850,52815,15639,1,3,105851
178,2020,4,La Pampa,9009,58945,15432,12,1,96895
179,2020,4,La Rioja,17513,34984,1,250,30,52778
180,2020,4,Mendoza,91842,68364,36083,18,833,215453
181,2020,4,Misiones,49462,79855,6589,4,6,147161
182,2020,4,Neuquén,30468,70614,13732,17,632,133135
183,2020,4,Río Negro,48991,42022,17826,13,18,141210
184,2020,4,Salta,56659,87817,30604,5,6,187390
185,2020,4,San Juan,40072,7004,6599,10,8,72596
186,2020,4,San Luis,8417,11767,27,63,36,119435
187,2020,4,Santa Cruz,12347,19657,1041,4,2,40674
188,2020,4,Santa Fe,287271,414746,62692,38,17,820813
189,2020,4,Santiago Del Estero,26812,70522,570,5,3,106669
190,2020,4,Tierra Del Fuego,12853,26439,6,0,316,39614
191,2020,4,Tucumán,149322,11150,68043,1,740,231089
192,2020,3,Buenos Aires,653930,2384557,749087,94,55,3937277
193,2020,3,Capital Federal,170375,1129573,39417,3,29,1372675
194,2020,3,Catamarca,26868,3690,16857,261,2,49904
195,2020,3,Chaco,45745,58825,20675,6,2,133954
196,2020,3,Chubut,45761,39386,2897,23,18,130027
197,2020,3,Córdoba,276360,430771,102217,48,9,867472
198,2020,3,Corrientes,50858,58681,2960,5,5,123391
199,2020,3,Entre Ríos,87892,106950,13954,20,12,241495
200,2020,3,Formosa,21790,10003,2000,15,393,49209
201,2020,3,Jujuy,32611,57682,11112,952,4,106728
202,2020,3,La Pampa,9015,56845,14677,11,1,93735
203,2020,3,La Rioja,17346,34984,1,250,35,52616
204,2020,3,Mendoza,91908,64672,32817,17,868,207788
205,2020,3,Misiones,50195,77989,2572,3,8,143186
206,2020,3,Neuquén,30222,70446,11043,16,737,129235
207,2020,3,Río Negro,49530,40001,10381,13,18,131467
208,2020,3,Salta,58216,84128,25445,5,7,180846
209,2020,3,San Juan,40092,9223,5509,14,8,77327
210,2020,3,San Luis,8401,10077,6,61,36,116565
211,2020,3,Santa Cruz,12845,16098,1027,6,2,39281
212,2020,3,Santa Fe,295051,405807,45721,37,19,802998
213,2020,3,Santiago Del Estero,26419,70720,555,4,3,105492
