,index,Año,Trimestre,Provincia,Accesos por cada 100 hogares
703,703,2015,2,Entre Ríos,42.93
704,704,2015,2,Formosa,18.36
705,705,2015,2,Jujuy,20.29
706,706,2015,2,La Pampa,56.71
707,707,2015,2,La Rioja,16.88
708,708,2015,2,Mendoza,32.49
709,709,2015,2,Misiones,27.35
710,710,2015,2,Neuquén,53.12
711,711,2015,2,Río Negro,45.98
712,712,2015,2,Salta,30.46
713,713,2015,2,San Juan,27.64
714,714,2015,2,San Luis,9.71
715,715,2015,2,Santa Cruz,27.07
716,716,2015,2,Santa Fe,51.18
717,717,2015,2,Santiago Del Estero,17.11
718,718,2015,2,Tierra Del Fuego,74.51
719,719,2015,2,Tucumán,35.69
720,720,2015,1,Buenos Aires,56.37
721,721,2015,1,Capital Federal,114.9
722,722,2015,1,Catamarca,25.11
723,723,2015,1,Chaco,26.65
724,724,2015,1,Chubut,37.61
725,725,2015,1,Córdoba,54.7
726,726,2015,1,Corrientes,28.95
727,727,2015,1,Entre Ríos,42.07
728,728,2015,1,Formosa,18.12
729,729,2015,1,Jujuy,19.69
730,730,2015,1,La Pampa,55.51
731,731,2015,1,La Rioja,16.7
732,732,2015,1,Mendoza,32.37
733,733,2015,1,Misiones,26.31
734,734,2015,1,Neuquén,51.95
735,735,2015,1,Río Negro,45.33
736,736,2015,1,Salta,30.01
737,737,2015,1,San Juan,27.55
738,738,2015,1,San Luis,9.72
739,739,2015,1,Santa Cruz,27.99
740,740,2015,1,Santa Fe,50.24
741,741,2015,1,Santiago Del Estero,17.06
742,742,2015,1,Tierra Del Fuego,74.23
743,743,2015,1,Tucumán,35.08
744,744,2014,4,Buenos Aires,56.09
745,745,2014,4,Capital Federal,114.9
746,746,2014,4,Catamarca,25.51
747,747,2014,4,Chaco,21.87
748,748,2014,4,Chubut,40.25
749,749,2014,4,Córdoba,54.7
750,750,2014,4,Corrientes,23.56
751,751,2014,4,Entre Ríos,36.03
752,752,2014,4,Formosa,17.96
753,753,2014,4,Jujuy,19.6
754,754,2014,4,La Pampa,51.27
755,755,2014,4,La Rioja,17.01
756,756,2014,4,Mendoza,32.64
757,757,2014,4,Misiones,24.16
758,758,2014,4,Neuquén,52.55
759,759,2014,4,Río Negro,45.48
760,760,2014,4,Salta,29.53
761,761,2014,4,San Juan,28.04
762,762,2014,4,San Luis,9.79
763,763,2014,4,Santa Cruz,27.8
764,764,2014,4,Santa Fe,50.0
765,765,2014,4,Santiago Del Estero,17.27
766,766,2014,4,Tierra Del Fuego,66.14
767,767,2014,4,Tucumán,35.32
768,768,2014,3,Buenos Aires,56.75
769,769,2014,3,Capital Federal,113.8
770,770,2014,3,Catamarca,24.71
771,771,2014,3,Chaco,21.11
772,772,2014,3,Chubut,40.6
773,773,2014,3,Córdoba,54.23
774,774,2014,3,Corrientes,22.79
775,775,2014,3,Entre Ríos,34.98
776,776,2014,3,Formosa,17.77
777,777,2014,3,Jujuy,18.37
778,778,2014,3,La Pampa,55.78
779,779,2014,3,La Rioja,16.51
780,780,2014,3,Mendoza,32.31
781,781,2014,3,Misiones,23.57
782,782,2014,3,Neuquén,56.4
783,783,2014,3,Río Negro,46.2
784,784,2014,3,Salta,29.22
785,785,2014,3,San Juan,27.85
786,786,2014,3,San Luis,9.71
787,787,2014,3,Santa Cruz,28.23
788,788,2014,3,Santa Fe,49.2
789,789,2014,3,Santiago Del Estero,16.49
790,790,2014,3,Tierra Del Fuego,65.69
791,791,2014,3,Tucumán,33.94
792,792,2014,2,Buenos Aires,55.06
793,793,2014,2,Capital Federal,113.14
794,794,2014,2,Catamarca,24.7
795,795,2014,2,Chaco,20.96
796,796,2014,2,Chubut,41.41
797,797,2014,2,Córdoba,53.45
798,798,2014,2,Corrientes,22.58
799,799,2014,2,Entre Ríos,34.69
800,800,2014,2,Formosa,17.54
801,801,2014,2,Jujuy,18.71
802,802,2014,2,La Pampa,49.71
803,803,2014,2,La Rioja,16.5
804,804,2014,2,Mendoza,32.1
805,805,2014,2,Misiones,23.37
806,806,2014,2,Neuquén,50.84
807,807,2014,2,Río Negro,45.33
808,808,2014,2,Salta,28.91
809,809,2014,2,San Juan,27.78
810,810,2014,2,San Luis,9.72
811,811,2014,2,Santa Cruz,29.38
812,812,2014,2,Santa Fe,48.39
813,813,2014,2,Santiago Del Estero,16.7
814,814,2014,2,Tierra Del Fuego,64.36
815,815,2014,2,Tucumán,33.94
816,816,2014,1,Buenos Aires,54.57
817,817,2014,1,Capital Federal,112.25
818,818,2014,1,Catamarca,24.25
819,819,2014,1,Chaco,20.72
820,820,2014,1,Chubut,41.24
821,821,2014,1,Córdoba,52.52
822,822,2014,1,Corrientes,22.32
823,823,2014,1,Entre Ríos,34.37
824,824,2014,1,Formosa,17.42
825,825,2014,1,Jujuy,18.42
826,826,2014,1,La Pampa,48.43
827,827,2014,1,La Rioja,16.29
828,828,2014,1,Mendoza,31.91
829,829,2014,1,Misiones,23.14
830,830,2014,1,Neuquén,49.79
831,831,2014,1,Río Negro,44.91
832,832,2014,1,Salta,28.7
833,833,2014,1,San Juan,27.6
834,834,2014,1,San Luis,9.35
835,835,2014,1,Santa Cruz,28.94
836,836,2014,1,Santa Fe,47.85
837,837,2014,1,Santiago Del Estero,16.31
838,838,2014,1,Tierra Del Fuego,63.97
839,839,2014,1,Tucumán,33.42
