,index,Año,Trimestre,Provincia,Accesos por cada 100 hogares
164,164,2021,1,Santa Fe,73.92
165,165,2021,1,Santiago Del Estero,45.67
166,166,2021,1,Tierra Del Fuego,77.35
167,167,2021,1,Tucumán,54.82
168,168,2020,4,Buenos Aires,68.98
169,169,2020,4,Capital Federal,108.31
170,170,2020,4,Catamarca,49.41
171,171,2020,4,Chaco,43.03
172,172,2020,4,Chubut,68.35
173,173,2020,4,Córdoba,78.08
174,174,2020,4,Corrientes,42.43
175,175,2020,4,Entre Ríos,59.47
176,176,2020,4,Formosa,32.49
177,177,2020,4,Jujuy,53.46
178,178,2020,4,La Pampa,81.77
179,179,2020,4,La Rioja,50.11
180,180,2020,4,Mendoza,38.63
181,181,2020,4,Misiones,42.64
182,182,2020,4,Neuquén,67.0
183,183,2020,4,Río Negro,61.09
184,184,2020,4,Salta,54.04
185,185,2020,4,San Juan,36.32
186,186,2020,4,San Luis,81.68
187,187,2020,4,Santa Cruz,37.0
188,188,2020,4,Santa Fe,73.58
189,189,2020,4,Santiago Del Estero,43.75
190,190,2020,4,Tierra Del Fuego,76.27
191,191,2020,4,Tucumán,54.78
192,192,2020,3,Buenos Aires,67.66
193,193,2020,3,Capital Federal,107.68
194,194,2020,3,Catamarca,47.16
195,195,2020,3,Chaco,41.54
196,196,2020,3,Chubut,68.34
197,197,2020,3,Córdoba,75.22
198,198,2020,3,Corrientes,41.75
199,199,2020,3,Entre Ríos,58.19
200,200,2020,3,Formosa,31.91
201,201,2020,3,Jujuy,54.04
202,202,2020,3,La Pampa,79.26
203,203,2020,3,La Rioja,50.12
204,204,2020,3,Mendoza,37.35
205,205,2020,3,Misiones,41.6
206,206,2020,3,Neuquén,65.24
207,207,2020,3,Río Negro,57.05
208,208,2020,3,Salta,52.32
209,209,2020,3,San Juan,38.79
210,210,2020,3,San Luis,79.96
211,211,2020,3,Santa Cruz,35.95
212,212,2020,3,Santa Fe,72.12
213,213,2020,3,Santiago Del Estero,43.38
214,214,2020,3,Tierra Del Fuego,76.81
215,215,2020,3,Tucumán,53.23
216,216,2020,2,Buenos Aires,65.22
217,217,2020,2,Capital Federal,106.41
218,218,2020,2,Catamarca,45.43
219,219,2020,2,Chaco,39.83
220,220,2020,2,Chubut,57.34
221,221,2020,2,Córdoba,72.71
222,222,2020,2,Corrientes,40.3
223,223,2020,2,Entre Ríos,56.54
224,224,2020,2,Formosa,31.14
225,225,2020,2,Jujuy,47.89
226,226,2020,2,La Pampa,76.1
227,227,2020,2,La Rioja,49.84
228,228,2020,2,Mendoza,36.25
229,229,2020,2,Misiones,40.89
230,230,2020,2,Neuquén,63.9
231,231,2020,2,Río Negro,56.37
232,232,2020,2,Salta,51.58
233,233,2020,2,San Juan,35.09
234,234,2020,2,San Luis,78.41
235,235,2020,2,Santa Cruz,35.79
236,236,2020,2,Santa Fe,70.0
237,237,2020,2,Santiago Del Estero,43.47
238,238,2020,2,Tierra Del Fuego,76.37
239,239,2020,2,Tucumán,51.78
240,240,2020,1,Buenos Aires,64.33
241,241,2020,1,Capital Federal,105.98
242,242,2020,1,Catamarca,37.62
243,243,2020,1,Chaco,37.48
244,244,2020,1,Chubut,51.27
245,245,2020,1,Córdoba,70.69
246,246,2020,1,Corrientes,38.73
247,247,2020,1,Entre Ríos,56.12
248,248,2020,1,Formosa,30.23
249,249,2020,1,Jujuy,46.67
250,250,2020,1,La Pampa,75.77
251,251,2020,1,La Rioja,46.35
252,252,2020,1,Mendoza,33.14
253,253,2020,1,Misiones,39.02
254,254,2020,1,Neuquén,61.85
255,255,2020,1,Río Negro,55.12
256,256,2020,1,Salta,49.6
257,257,2020,1,San Juan,32.39
258,258,2020,1,San Luis,76.31
259,259,2020,1,Santa Cruz,35.97
260,260,2020,1,Santa Fe,69.52
261,261,2020,1,Santiago Del Estero,42.47
262,262,2020,1,Tierra Del Fuego,76.07
263,263,2020,1,Tucumán,47.85
264,264,2019,4,Buenos Aires,64.25
265,265,2019,4,Capital Federal,106.25
266,266,2019,4,Catamarca,36.44
267,267,2019,4,Chaco,36.84
268,268,2019,4,Chubut,51.15
269,269,2019,4,Córdoba,70.48
270,270,2019,4,Corrientes,38.77
271,271,2019,4,Entre Ríos,57.99
272,272,2019,4,Formosa,30.47
273,273,2019,4,Jujuy,45.38
274,274,2019,4,La Pampa,76.92
275,275,2019,4,La Rioja,47.14
276,276,2019,4,Mendoza,33.65
277,277,2019,4,Misiones,39.79
278,278,2019,4,Neuquén,59.36
279,279,2019,4,Río Negro,55.71
