,Año,Trimestre,Provincia,Mbps (Media de bajada)
206,2020,3,Neuquén,31
207,2020,3,Río Negro,21
208,2020,3,Salta,25
209,2020,3,San Juan,6
210,2020,3,San Luis,21
211,2020,3,Santa Cruz,7
212,2020,3,Santa Fe,26
213,2020,3,Santiago Del Estero,11
214,2020,3,Tierra Del Fuego,9
215,2020,3,Tucumán,35
216,2020,2,Buenos Aires,46
217,2020,2,Capital Federal,60
218,2020,2,Catamarca,35
219,2020,2,Chaco,28
220,2020,2,Chubut,8
221,2020,2,Córdoba,31
222,2020,2,Corrientes,22
223,2020,2,Entre Ríos,20
224,2020,2,Formosa,17
225,2020,2,Jujuy,16
226,2020,2,La Pampa,8
227,2020,2,La Rioja,12
228,2020,2,Mendoza,9
229,2020,2,Misiones,23
230,2020,2,Neuquén,29
231,2020,2,Río Negro,20
232,2020,2,Salta,23
233,2020,2,San Juan,6
234,2020,2,San Luis,21
235,2020,2,Santa Cruz,7
236,2020,2,Santa Fe,24
237,2020,2,Santiago Del Estero,10
238,2020,2,Tierra Del Fuego,8
239,2020,2,Tucumán,33
240,2020,1,Buenos Aires,45
241,2020,1,Capital Federal,59
242,2020,1,Catamarca,29
243,2020,1,Chaco,26
244,2020,1,Chubut,7
245,2020,1,Córdoba,29
246,2020,1,Corrientes,21
247,2020,1,Entre Ríos,19
248,2020,1,Formosa,16
249,2020,1,Jujuy,14
250,2020,1,La Pampa,7
251,2020,1,La Rioja,8
252,2020,1,Mendoza,8
253,2020,1,Misiones,22
254,2020,1,Neuquén,28
255,2020,1,Río Negro,19
256,2020,1,Salta,21
257,2020,1,San Juan,6
258,2020,1,San Luis,21
259,2020,1,Santa Cruz,6
260,2020,1,Santa Fe,22
261,2020,1,Santiago Del Estero,10
262,2020,1,Tierra Del Fuego,7
263,2020,1,Tucumán,32
264,2019,4,Buenos Aires,31
265,2019,4,Capital Federal,44
266,2019,4,Catamarca,25
267,2019,4,Chaco,23
268,2019,4,Chubut,7
269,2019,4,Córdoba,26
270,2019,4,Corrientes,19
271,2019,4,Entre Ríos,17
272,2019,4,Formosa,15
273,2019,4,Jujuy,13
274,2019,4,La Pampa,7
275,2019,4,La Rioja,8
276,2019,4,Mendoza,8
277,2019,4,Misiones,20
278,2019,4,Neuquén,26
279,2019,4,Río Negro,17
280,2019,4,Salta,19
281,2019,4,San Juan,6
282,2019,4,San Luis,21
283,2019,4,Santa Cruz,5
284,2019,4,Santa Fe,21
285,2019,4,Santiago Del Estero,10
286,2019,4,Tierra Del Fuego,7
287,2019,4,Tucumán,30
288,2019,3,Buenos Aires,26
289,2019,3,Capital Federal,39
290,2019,3,Catamarca,9
291,2019,3,Chaco,20
292,2019,3,Chubut,7
293,2019,3,Córdoba,23
294,2019,3,Corrientes,17
295,2019,3,Entre Ríos,15
296,2019,3,Formosa,13
297,2019,3,Jujuy,12
298,2019,3,La Pampa,6
299,2019,3,La Rioja,8
300,2019,3,Mendoza,6
301,2019,3,Misiones,18
302,2019,3,Neuquén,24
303,2019,3,Río Negro,16
304,2019,3,Salta,15
305,2019,3,San Juan,6
306,2019,3,San Luis,20
307,2019,3,Santa Cruz,5
308,2019,3,Santa Fe,18
309,2019,3,Santiago Del Estero,9
310,2019,3,Tierra Del Fuego,7
311,2019,3,Tucumán,19
312,2019,2,Buenos Aires,22
313,2019,2,Capital Federal,30
314,2019,2,Catamarca,9
315,2019,2,Chaco,16
316,2019,2,Chubut,6
