Provincia,Partido,,,Otros,"0,256 mbps",,,"0,512 mbps","0,625 mbps","0,75 mbps",1 mbps,,,2 mbps,"2,2 mbps",,,"3,3 mbps","3,5 mbps",4 mbps,"4,5 mbps",,,"6,4 mbps",7 mbps,,,9 mbps,10 mbps,,12 mbps,13 mbps,14 mbps,,16 mbps,17 mbps,18 mbps,,20 mbps,21 mbps,,23 mbps,24 mbps,25 mbps,,"25,11 mbps","25,5 mbps",26 mbps,,31 mbps,32 mbps,,35 mbps,36 mbps,38 mbps,,40 mbps,41 mbps,45 mbps,46 mbps,49 mbps,50 mbps,,58 mbps,59 mbps,60 mbps,,62 mbps,64 mbps,,66 mbps,70 mbps,75 mbps,,80 mbps,82 mbps,83 mbps,,90 mbps,92 mbps,,100 mbps
,,Alberti   (Est. Andrés Vaccarezza),6021010,,,,,,,,,,,,,,,,,,,7,,,,,116,,10,,,,,302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Alberti,Mechita,,,,,,,,,,,,,,,275,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Almirante Brown,Adrogué,6028010,,1,,10,,,34,24,,,8,,,,,63,7,,,,,,,,,405,,,,,135,,,126,,,,,,,,,,,,"11,557",,,,,,,,,,,,,,,,,,,,,,,,235,,,,,,,,,"3,360"
BUENOS AIRES,Almirante Brown,,,50,1,,,1,,23,29,,,77,,,17,,34,115,,15,,,,,,,"1,146",,8,,,,,,25,,3,,,,,167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,885,,,,,,,,,"5,258"
BUENOS AIRES,,Claypole,6028010,,,,,,,2,,,,,,,2,,,,,2,47,,,,,,467,,3,,,1,,,,,16,,,,,63,,,,,"4,114",,,,,,,,,,,,,452,,,,"2,090",,,,,,,,,,,,,,,,
,Almirante Brown,Don Orione,6028010,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,32,,,,,3,,,,,,,,,,,,,17,,,,"1,828",,,,,,,420,,,,,,,,,"1,166"
BUENOS AIRES,Almirante Brown,Glew,,1,,,,,,7,5,,,15,,,,,27,29,,,12,,,,16,,336,,,,,8,,,9,,,,,,,,,,,,"11,737",,,,,,,,,,,,,,,,,,,,,,,,752,,,,,,,,,"1,520"
BUENOS AIRES,Almirante Brown,Jose Mármol,,,,,,,,,1,,,,,,,,2,,,1,,,,,,,471,,,,,,,,32,,16,,,,,77,,,,,,,,,,,,,,,,,,982,,,,"1,425",,,,,,,355,,,,,,,,,"2,432"
,Almirante Brown,Longchamps,6028010,,,,1,,,,,,,,,,3,,,,,5,1,,,,4,,,,12,,,4,,,,,1,,,,,88,,,,,"7,433",,,,,,,,,,,,,973,,,,"2,346",,,,,,,,,,,,,,,,
,,Malvinas Argentinas,6028010,,,,,,,,3,,,,,,,,,,,1,42,,,,,,,,3,,,,,,4,,3,,,,,29,,,,,6,,,,,,,,,,,,,373,,,,"1,501",,,,,,,,,,,,,,,,
BUENOS AIRES,Almirante Brown,,,,,,,,,,,,,,,,,,2,,,,,,,,,,298,,,,,,,,,,,,,,,,,,,,"4,094",,,,,,,,,,,,,,,,,,,,,,,,267,,,,,,,,,820
,Almirante Brown,Rafael Calzada,6028010,,,,3,,,10,29,,,,,,99,,18,339,,9,,,,,,,691,,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,650,,,,,,,,,"3,221"
BUENOS AIRES,Almirante Brown,San Francisco Solano,,1,,,,,,4,,,,,,,40,,,,,,118,,,,,,129,,,,,1,,,,,16,,,,,8,,,,,"3,236",,,,,,,,,,,,,76,,,,"1,387",,,,,,,,,,,,,,,,
BUENOS AIRES,Almirante Brown,,,,,,,,,,,,,,,,,,2,,,4,124,,,,,,,,1,,,,,,2,,58,,,,,32,,,,,4,,,,,,,,,,,,,294,,,,"3,134",,,,,,,686,,,,,,,,,"2,341"
,AMBA,Otros,Sin Datos,,,,13,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,,Arrecifes,6077010,1,,,1,,,6,137,,,275,,,,,165,449,,,,,,,,,7,,,,,,,,,,"3,372",,,,,5,,,,,,,,,,,,,,,,,,"1,513",,,,,,,,,,,,,,,,,,,,567
BUENOS AIRES,Arrecifes,,6077020,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,,,,,,,,138,,,,,,,,,,,,,,,,,,,,,,,61,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Arrecifes,,6077030,,,,,,,,,,,,,,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,,Avellaneda,6035010,24,,,8,5,,43,43,,,3,,,,,288,,,,43,,,,397,,314,,,,,,,,95,,,,,,,,,,,,"2,897",,,,,,,,,,,,,,,,,,,,,,,,197,,,,,,,,,"4,193"
,,Crucesita,6035010,,,,,,,1,1,,,,,,1,,6,,,4,,,,,,,189,,17,,,,,,52,,29,,,,,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130,,,,,,,,,"2,438"
BUENOS AIRES,Avellaneda,Dock Sud,,2,,,,,,5,,,,,,,5,,,,,,281,,,,1,,61,,,,,,,,,,289,,,,,2,,,,,4,,,,,,,,,,,,,"1,320",,,,194,,,,,,,,,,,,,,,,
BUENOS AIRES,,Gerli,6035010,,,,1,,,,2,,,,,,,,1,,,,1,,,,,,,,16,,,,,,23,,17,,,,,92,,,,,6,,,,,,,,,,,,,"4,408",,,,822,,,,,,,,,,,,,,,,
BUENOS AIRES,Avellaneda,,6035010,1,,,4,,,2,6,,,2,,,,,4,,,,,,,,2,,323,,,,,1,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170,,,,,,,,,"2,824"
,Avellaneda,Sarandí,6035010,,,,12,,,35,6,,,4,,,,,215,,,,,,,,,,491,,,,,,,,119,,,,,,,180,,,,,,,,,,,,,,,,,,"8,185",,,,"1,295",,,,,,,313,,,,,,,,,"5,422"
BUENOS AIRES,Avellaneda,,,,,,,,,,,,,,,,41,,,,,5,153,,,,3,,499,,20,,,2,,,,,79,,,,,141,,,,,12,,,,,,,,,,,,,"6,591",,,,"1,911",,,,,,,,,,,,,,,,
BUENOS AIRES,Avellaneda,,6035010,2,,,5,,,,7,,,,,,2,,116,,,8,7,,,,261,,,,35,,,"1,663",,,99,,81,,,,,194,,,,,"3,081",,,,,,,,,,,,,"9,668",,,,"1,811",,,,,,,,,,,,,,,,
BUENOS AIRES,,Ayacucho,6042010,,,,,,,7,119,,,,,,,,109,,,,20,,,,752,,,,,,,"1,202",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,,La Constancia,6042020,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Ayacucho,,6042030,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Ayacucho,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Azul,6049020,,,,9,,,55,171,,,819,,,,,754,,,,,,,,,,128,,,,,,,,186,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,294"
BUENOS AIRES,Azul,,6049030,,,,,,,,,,,458,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,,Chillar,6049040,,,,,1,,,,,,8,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,,Bahía Blanca,6056010,19,,,19,1,,,150,,,,,,362,,"1,714",200,,272,616,,,,"2,856",1,,3,255,,3,"1,257",3,,630,,45,1,,,,"1,333",,,,,"1,609",,,,,,,,,,,,,"50,431",,,,,,,,,,,,,,,,,,,,
